number;contract_name;name;address;position;banking;bonus;bike_stands;available_bike_stands;available_bikes;status;last_update
231;bruxelles;231 - KERSBEEK;KERSBEEK - AV KERSBEEK 107 / KERSBEEKLAAN 107;{'lat': 50.805801, 'lng': 4.3194};False;False;19;10;9;OPEN;1647714679000
122;bruxelles;122 - GARE D'ETTERBEEK;GARE D'ETTERBEEK/STATION VAN ETTERBEEK - BOULEVARD GENERAL JACQUES/GENERAAL JACQUESLAAN;{'lat': 50.822207, 'lng': 4.389325};False;True;30;26;4;OPEN;1647714898000
1;bruxelles;001 - LEOPOLD II;LEOPOLD II - AVENUE DE TERVUREN FACE / TERVURENLAAN VOOR 218;{'lat': 50.836304, 'lng': 4.41505};False;True;20;19;1;OPEN;1647714976000
212;bruxelles;212 - THEO LAMBERT;THEO LAMBERT - BD THEO LAMBERT (FACE 60) / THEO LAMBERT LAAN (TEGENOVER 60);{'lat': 50.827106, 'lng': 4.2925};False;False;25;5;20;OPEN;1647714942000
333;bruxelles;333 - TRACTEBEL;TRACTEBEL - AV MARCEL THIRY FACE AU N°93;{'lat': 50.856582, 'lng': 4.430988};False;False;25;15;10;OPEN;1647714586000
184;bruxelles;184 - PHILIPPE BAUCQ;PHILIPPE BAUCQ - RUE PHILIPPE BAUCQ / PHILIPPE BAUCQSTRAAT 32 - 38;{'lat': 50.831592, 'lng': 4.3857859999999995};False;False;25;21;4;OPEN;1647714824000
360;bruxelles;360 - STOCKEL/STOKKEL;STOCKEL/STOKKEL - AVENUE D'OPHEMLAAN, 1-3;{'lat': 50.84157, 'lng': 4.46577};False;False;24;4;20;OPEN;1647714856000
186;bruxelles;186 - GENOT;GENOT - CHAUSSEE DE GAND DEVANT 1033;{'lat': 50.861783, 'lng': 4.302607};False;False;17;9;8;OPEN;1647714832000
167;bruxelles;167 - CHARLES V/KAREL V;CHARLES V/KAREL V - AVENUE CHARLES QUINT/KEIZER KARELLAAN 129-131;{'lat': 50.869032, 'lng': 4.309731};False;False;22;9;13;OPEN;1647714863000
305;bruxelles;305 - PETER BENOIT;PETER BENOIT - PLACE PETER BENOIT PLAATS 2-4;{'lat': 50.895592, 'lng': 4.387965};False;False;25;7;18;OPEN;1647714836000
50;bruxelles;050 - RIBAUCOURT;RIBAUCOURT - BLD LEOPOLD II / LEOPOLD II-LAAN 121-123;{'lat': 50.860862, 'lng': 4.339182};False;False;25;6;19;OPEN;1647714464000
93;bruxelles;093 - CLOVIS;CLOVIS - CHAUSSEE DE LOUVAIN - LEUVENSESTEENWEG 260-264;{'lat': 50.850333, 'lng': 4.380461};False;False;19;7;12;OPEN;1647714906000
274;bruxelles;274 - CORHAY;CORAY - CHEE DE GAND DEVANT 579-587 GENTSESTEENWEG VOOR 579-587;{'lat': 50.86002, 'lng': 4.307502};False;False;25;19;6;OPEN;1647714520000
98;bruxelles;098 - CIMETIERE/KERKHOF;CIMETIERE/KERKHOF - BLD METTEWIE/METTEWIELAAN 40 INTERSECTION CHAUSSÉE DE GAND/GENTSESTEENWEEG;{'lat': 50.85904, 'lng': 4.312402};False;False;20;10;10;OPEN;1647714717000
260;bruxelles;260 - TRITON;TRITON - AVENUE DES ANCIENS COMBATTANTS - PISCINE / OUD-STRIJDERSLAAN - ZWEMBAD;{'lat': 50.86702, 'lng': 4.406995};False;False;25;12;13;OPEN;1647714648000
38;bruxelles;038 - JEU DE BALLE / VOSSENPLEIN;JEU DE BALLE/VOSSENPLEIN - RUE BLAES/BLAESSTRAAT 135-141;{'lat': 50.837912, 'lng': 4.347421};False;False;19;0;19;OPEN;1647714726000
57;bruxelles;057 - MADOU/MADOU;MADOU - AVENUE DES ARTS/KUNSTLAAN 1-2;{'lat': 50.848712, 'lng': 4.369509};False;True;24;24;0;OPEN;1647714707000
351;bruxelles;351 - ULB;ULB - AV BUYL CROISEMENT AV DE L'UNIVERSITE (DEVANT L'ULB);{'lat': 50.813724, 'lng': 4.384205};False;True;25;25;0;OPEN;1647714715000
206;bruxelles;206 - SAINT-GUIDON / SINT GUIDO;SAINT GUIDON / SINT GUIDO - AV PAUL JANSON (FACE AU 34-28) / PAUL JANSONLAAN (TEGENOVER 34-28);{'lat': 50.834755, 'lng': 4.305962};False;False;25;20;5;OPEN;1647714887000
178;bruxelles;178 - DIAMANT/DIAMANT;DIAMANT/DIAMANT - RUE COLONEL BOURG EN FACE 3;{'lat': 50.85043, 'lng': 4.402169};False;False;22;5;17;OPEN;1647714963000
245;bruxelles;245 - HAMOIR;CHEE DE WATERLOO/WATERLOOSESTEENWEG 1050;{'lat': 50.798988, 'lng': 4.375581};False;False;25;9;16;OPEN;1647714658000
99;bruxelles;099 - JUBILE;JUBILE - BOULEVARD DU JUBILE/ JUBELFEESTLAAN 79;{'lat': 50.864992, 'lng': 4.338431};False;True;25;11;14;OPEN;1647715011000
358;bruxelles;358 - MADOUX;MADOUX - AVENUE DE TERVUREN FACE 403;{'lat': 50.82708, 'lng': 4.444795};False;False;25;16;9;OPEN;1647714787000
242;bruxelles;242 - MAISON COMMUNALE D'UCCLE/UKKEL GEMEENTEHUIS;MAISON COMMUNALE D'UCCLE/UKKEL GEMEENTEHUIS - PLACE JEAN VANDER ELST / JEAN VANDER ELST PLEIN;{'lat': 50.803791, 'lng': 4.333321};False;False;25;14;11;OPEN;1647714873000
200;bruxelles;200 - VETERANS COLONIAUX / KOLONIALE VETERANEN;VETERANS COLONIAUX / KOLONIALE VETERANEN - BD JULES GRAINDOR / JULES GRAINDORLAAN;{'lat': 50.843967, 'lng': 4.313537};False;True;25;7;18;OPEN;1647714911000
181;bruxelles;181 - LOUIS TITZ;LOUIS TITZ - AVENUE DE LA CHASSE/ JACHTLAAN 182 - 184;{'lat': 50.835723, 'lng': 4.394395};False;False;25;20;5;OPEN;1647714995000
158;bruxelles;158 - VAN YSENDIJCK;VAN YSENDIJCK - AVENUE VOLTAIRE (FACE 6) / VOLTAIRELAAN (TEGENOVER 6);{'lat': 50.867955, 'lng': 4.379577};False;False;24;3;21;OPEN;1647714577000
161;bruxelles;161 - DEMOLDER;DEMOLDER - AVENUE EUGENE DEMOLDER / EUGENE DEMOLDERLAAN 68;{'lat': 50.872592, 'lng': 4.379886};False;False;25;18;6;OPEN;1647714854000
347;bruxelles;347 - ERASME;ERASME - ROUTE DE LENNIK N°808;{'lat': 50.8149606388997, 'lng': 4.26542850805528};False;False;25;17;8;OPEN;1647714897000
283;bruxelles;283 - PISCINE / ZWEMBAD;PISCINE / ZWEMBAD - RUE DE LOMBARTZYDE / LOMBARDSIJDESTRAAT;{'lat': 50.893158, 'lng': 4.376931};False;False;14;7;6;OPEN;1647714795000
125;bruxelles;125 - GEORGES BRUGMANN;GEORGES BRUGMANN - PLACE GEORGES BRUGMANN/GEORGES BRUGMANNPLEIN N° 10 - 11;{'lat': 50.817392, 'lng': 4.354105};False;True;25;23;2;OPEN;1647714789000
246;bruxelles;246 - GATTI DE GAMOND;GATTI DE GAMMOND - RUE DE STALLE PROLONGEE/STALLE STRAAT 160;{'lat': 50.796471, 'lng': 4.328415};False;False;20;3;17;OPEN;1647714976000
140;bruxelles;140 - AZALEES/AZALEA;AZALEES / AZALEA -   AVENUE PAUL DESCHANEL/LAAN FACE/TEGENOVER N°  6-8;{'lat': 50.862704, 'lng': 4.381289};False;False;25;0;23;OPEN;1647714785000
335;bruxelles;335 - THIRY;THIRY - BD DE LA WOLUWE DVT 100;{'lat': 50.854231, 'lng': 4.444034};False;False;20;8;12;OPEN;1647715028000
279;bruxelles;279 - HOUBA BRUGMANN;HOUBA BRUGMANN - AVENUE HOUBA DE STROOPER / HOUBA DE STROOPERLAAN;{'lat': 50.890181, 'lng': 4.336962};False;False;25;15;10;OPEN;1647714515000
12;bruxelles;012 - TRONE / TROON;TRONE/TROON - AVENUE MARNIX/MARNIXLAAN, 30;{'lat': 50.840458, 'lng': 4.365981};False;False;32;30;2;OPEN;1647714500000
18;bruxelles;018 - GUTENBERG / GUTENBERG;GUTENBERG - SQUARE GUTENBERG (FACE N° 5)/GUTENBERGSSQUARE (TEGENOVER N° 5);{'lat': 50.84771, 'lng': 4.377552};False;False;25;4;20;OPEN;1647714787000
177;bruxelles;177 - CHASSEURS ARDENNAIS/ARDENSE JAGERS;CHASSEURS ARDENNAIS/ARDENSE JAGERSPLEIN - RUE DU NOYER 81-87 /NOTELAARSSTRAAT 81-87;{'lat': 50.849409, 'lng': 4.389263};False;True;25;16;9;OPEN;1647714800000
175;bruxelles;175 - BEEKANT;BEEKANT - BOULEVARD EDMOND MACHTENS / EDMOND MACHTENSLAAN;{'lat': 50.854166, 'lng': 4.322948};False;False;25;4;19;OPEN;1647714842000
308;bruxelles;308 - TIVOLI;TIVOLI - RUE DE MOLENBEEK CROISEMENT RUE DE WAUTIER/ KRUISPUNT MOLENBEEKSTRAAT-DE WAUTIERSTRAAT;{'lat': 50.872265, 'lng': 4.352158};False;False;19;8;9;OPEN;1647714688000
350;bruxelles;350 - VERHEYLEWEGHEN;VERHEYLEWEGHEN - PLACE VERHEYLEWEGHEN DVT LES N°32-34;{'lat': 50.848184, 'lng': 4.425621};False;False;22;7;15;OPEN;1647714943000
7;bruxelles;007 - PARC / PARK;PARC/PARK - RUE ROYALE  (FACE N°66-68)/KONINGSSTRAAT (TEGENOVER N°66-68);{'lat': 50.846319, 'lng': 4.3622440000000005};False;True;25;22;3;OPEN;1647714833000
321;bruxelles;321 - SACRE-CŒUR DE/HEILIGE HART VAN JETTE;SACRE-CŒUR DE JETTE/HEILIGE HART VAN JETTE - AVENUE DU SACREE CŒUR FACE 71 A 79/HEILIGE HARTLAAN VOOR 71 TOT 79;{'lat': 50.884251, 'lng': 4.330287};False;False;19;8;11;OPEN;1647714514000
193;bruxelles;193 - GARE DE L'OUEST;GARE DE L'OUEST - CHEE DE NINOVE 207,209 / NINOOFSESTEENWEG 207,209;{'lat': 50.848866, 'lng': 4.320628};False;False;30;30;0;OPEN;1647714954000
330;bruxelles;330 - VANDERVELDE;VANDERVELDE - AVENUE EMILE VANDERVELDE 90;{'lat': 50.847546, 'lng': 4.450015};False;False;25;15;10;OPEN;1647714814000
79;bruxelles;079 - LOI / WET;LOI/WET - RUE D'ARLON/STRAAT 120;{'lat': 50.84413, 'lng': 4.374871};False;False;22;21;0;OPEN;1647714529000
114;bruxelles;114 - SAISONS/JAARGETIJDEN;SAISONS/JAARGETIJDEN  -  AVENUE DES SAISONS 2 / JAARGETIJDENLAAN 2  ( FERMER PROB CONNEXION );{'lat': 50.820391, 'lng': 4.385358};False;False;25;25;0;OPEN;1647714710000
339;bruxelles;339 - MEUDON;MEUDON - SQUARE MEUDON;{'lat': 50.845365, 'lng': 4.41788};False;False;22;17;4;OPEN;1647714564000
285;bruxelles;285 - COGHEN;COGHEN - AV COGHEN 1 A 5 / COGHENSTRAAT 1 TOT 5;{'lat': 50.813469, 'lng': 4.338951};False;False;25;17;6;OPEN;1647714757000
232;bruxelles;232 - DOMAINE / DOMEIN;DOMAINE / DOMEIN - AV DU DOMAINE (FACE 150) / DOMEINELAAN (VOOR 150);{'lat': 50.810875, 'lng': 4.329158};False;False;25;22;3;OPEN;1647714558000
191;bruxelles;191 - ARTAN;ARTAN - RUE CLAYS;{'lat': 50.853973, 'lng': 4.38374};False;False;24;14;7;OPEN;1647714709000
221;bruxelles;221 - CURIE;CURIE - SQUARE MARIE CURIE (FACE 30) / MARIE CURIE SQUARE (TEGENOVER 30);{'lat': 50.821846, 'lng': 4.284394};False;False;25;8;17;OPEN;1647714813000
153;bruxelles;153 - SQUARE ARMAND STEURS;SQUARE ARMAND STEURS/ARMAND STEURSSQUARE - AVENUE PAUL DESCHANEL (FACE N° 267 - 269) / PAUL DESCHANELLAAN (TEGENOVER 267 - 269);{'lat': 50.854128, 'lng': 4.378002};False;False;25;14;11;OPEN;1647714713000
97;bruxelles;097 - KARREVELD;KARREVELD - CHAUSSEE DE GAND/ GENTSESTEENWEG 1-3;{'lat': 50.858058, 'lng': 4.318689};False;False;25;17;8;OPEN;1647714618000
169;bruxelles;169 - GEORGES EEKHOUD;GEORGES EEKHOUD - AVENUE GEORGES EEKHOUD/GEORGES EEKHOUDLAAN 56;{'lat': 50.877125, 'lng': 4.387515};False;False;25;20;5;OPEN;1647714899000
43;bruxelles;043 - JOSEPH II / JOZEF II;JOSEPH II/JOZEF II - RUE JOSEPH II/JOZEF II-STRAAT;{'lat': 50.845256, 'lng': 4.374501};False;False;25;24;1;OPEN;1647714771000
82;bruxelles;082 - PANNENHUIS;PANNENHUIS - RUE CHARLES DEMEER/CHARLES DEMEERSTRAAT  71;{'lat': 50.872811, 'lng': 4.341149};False;False;20;9;11;OPEN;1647714726000
100;bruxelles;100 - GARE DE LUXEMBOURG/LUXEMBURGSTATION;GARE DE LUXEMBOURG/LUXEMBURGSTATION - RUE DE TREVES / TRIERSTRAAT;{'lat': 50.838411, 'lng': 4.37302};False;True;44;39;5;OPEN;1647714487000
58;bruxelles;058 - GARE DU NORD / NOORDSTATION;GARE DU NORD/NOORDSTATION - PLACE DU NORD / NOORDPLAATS;{'lat': 50.859181, 'lng': 4.35942};False;False;43;11;30;OPEN;1647714487000
234;bruxelles;234 - ST DENIS / ST DENIJS;ST DENIS / ST DENIJS - PLACE ST DENIS FACE 68 / ST DENIJSPLAATS VOOR 68;{'lat': 50.809799, 'lng': 4.317546};False;False;25;2;23;OPEN;1647715036000
269;bruxelles;269 - CICERON;CICERON - CHAUSSE DE LOUVAIN / LEUVENSESTEENWEG1166;{'lat': 50.860859, 'lng': 4.421375};False;False;25;10;14;OPEN;1647714718000
319;bruxelles;319 - ANCIENNE BARRIERE/OUDE AFSPANNING;ANCIENNE BARRIERE / OUDE AFSPANNINGSPLEIN - PLACE DE L'ANCIENNE BARRIERE FACE 10;{'lat': 50.885197, 'lng': 4.317648};False;False;20;6;11;OPEN;1647714995000
256;bruxelles;256 - VAN OVERBEKE;VAN OVERBEKE / AV VAN OVERBEKE / VAN OVERBEKELAAN;{'lat': 50.874767, 'lng': 4.308977};False;False;24;6;17;OPEN;1647714447000
130;bruxelles;130 - ROND POINT DU SOUVERAIN;ROND POINT DU SOUVERAIN - BOULEVARD DU SOUVERAIN FACE / VORSTLAAN VOOR 207;{'lat': 50.819448, 'lng': 4.429082};False;False;23;12;11;OPEN;1647714981000
39;bruxelles;039 - HOTEL DES MONNAIES / MUNTHOTEL;HOTEL DES MONNAIES/MUNTHOTEL - BLD DE WATERLOO- WATERLOOLAAN 93/94/95/96/98;{'lat': 50.834237, 'lng': 4.350732};False;False;25;10;15;OPEN;1647714869000
86;bruxelles;086 - MAISON COMMUNALE DE JETTE GEMEENTEHUIS;MAISON COMMUNALE DE JETTE / JETTE GEMEENTEHUIS - CHAUSSEE DE WEMMEL/WEMMELSESTEENWEG 102;{'lat': 50.876195, 'lng': 4.324477};False;False;25;22;3;OPEN;1647714512000
345;bruxelles;345 - 3 TILLEULS;3 TILLEULS - AV DES ORTOLANS 2;{'lat': 50.802675, 'lng': 4.412073};False;False;18;12;6;OPEN;1647714503000
67;bruxelles;067 - PARC CINQUANTENAIRE / JUBELPARK;PARC CINQUANTENAIRE/JUBELPARK - AVENUE D'AUDERGHEM/OUDERGEMSESTEENWEG 45;{'lat': 50.83975, 'lng': 4.385426};False;True;35;31;4;OPEN;1647715001000
292;bruxelles;292 - RITTWEGER;RITTWEGER - RUE RITTWEGER 6-8 / RITTWEGERSTRAAT 6-8;{'lat': 50.797739, 'lng': 4.336083};False;False;20;8;12;OPEN;1647714948000
307;bruxelles;307 - KAREL BOGAERT;KAREL BOGAERT - BD EMILE BOCKSTAEL / EMILE BOCKSTAELLAAN 307;{'lat': 50.881889, 'lng': 4.347448};False;False;20;8;12;OPEN;1647714985000
359;bruxelles;359 - JCDECAUX;JCDECAUX - ALLÉE VERTE 50 À 1000 BRUXELLES;{'lat': 50.867708, 'lng': 4.357532};False;False;20;7;13;OPEN;1647714897000
344;bruxelles;344 - BETHLEEM;BETHLEEM - PLACE BETHLEEM;{'lat': 50.830179, 'lng': 4.337958};False;False;20;8;12;OPEN;1647714702000
268;bruxelles;268 - DUNANT;DUNANT - AV HENRI DUNANT / HENRI DUNANTLAAN;{'lat': 50.862808, 'lng': 4.410791};False;False;20;14;6;OPEN;1647714754000
111;bruxelles;111 - ETANGS MELLAERTS VIJVERS;ETANGS MELLAERTS VIJVERS - BOULEVARD DU SOUVERAIN FACE / VORSTLAAN VOOR 275;{'lat': 50.827831, 'lng': 4.431822};False;False;25;11;13;OPEN;1647714495000
27;bruxelles;027 - SQUARE ALBERT I / ALBERT I SQUARE;SQUARE ALBERT I / ALBERT I-SQUARE 25 - 26 - 27;{'lat': 50.838733, 'lng': 4.32176};False;False;25;19;6;OPEN;1647714489000
355;bruxelles;355 - PARNASSE;PARNASSE - RUE DU TRONE N°66 (CLOS PARNASSE);{'lat': 50.837714, 'lng': 4.369117};False;False;22;20;2;OPEN;1647714521000
157;bruxelles;157 - HELIOTROPES/HELIOTROPEN;HELIOTROPES/HELIOTROPEN - BOULEVARD LAMBERMONT /  LAMBERMONTLAAN 374;{'lat': 50.863388, 'lng': 4.386222};False;False;24;10;14;OPEN;1647714749000
154;bruxelles;154 - PLASKY/PLASKY;PLASKY - SQUARE EUGENE PLASKY (FACE 100) / EUGENE PLASKYSQUARE (TEGENOVER 100);{'lat': 50.851241, 'lng': 4.396386};False;True;25;22;3;OPEN;1647714695000
132;bruxelles;132 - DEUX CHAUSSEES;DEUX CHAUSSEES - CHEE DE TERVURENLAAN FACE/TEGENOVER 93A;{'lat': 50.816338, 'lng': 4.433895};False;False;19;6;13;OPEN;1647714754000
134;bruxelles;134 - BASTOGNE/BASTENAKEN;BASTOGNE/BASTENAKEN - PLACE DE BASTOGNE/BASTENAKENPLEIN;{'lat': 50.862652, 'lng': 4.316644};False;False;25;14;11;OPEN;1647714679000
208;bruxelles;208 - MELBA;MELBA - AV NELLIE MELBA (FACE 1 a 9) / NELLIE MELBALAAN (TEGENOVER 1 tot 9);{'lat': 50.832565, 'lng': 4.294311};False;False;25;18;7;OPEN;1647714550000
48;bruxelles;048 - CONGRES;CONGRES - RUE ROYALE/KONINGSSTRAAT 144-146-148;{'lat': 50.849358, 'lng': 4.363589};False;True;23;23;0;OPEN;1647714867000
342;bruxelles;342 - MAISON COMMUNALE DE BERCHEM ST AGHATE;MAISON COMMUNALE DE BERCHEM ST AGHATE - AVENUE DU ROI ALBERT DVT 38;{'lat': 50.864761, 'lng': 4.294429};False;False;20;14;6;OPEN;1647714803000
197;bruxelles;197 - DE SMET;DE SMET - PLACE HENRI DE SMET / HENRI DE SMETPLEIN;{'lat': 50.848255, 'lng': 4.314854};False;False;25;15;10;OPEN;1647715011000
62;bruxelles;062 - CORTENBERGH / KORTENBERG;CORTENBERGH / KORTENBERG - AVENUE D'AUDERGHEM 1 - 9 /OUDERGHEMLAAN 1-9;{'lat': 50.84177, 'lng': 4.38418};False;False;40;35;3;OPEN;1647714803000
278;bruxelles;278 - STADE / STADIUM;STADE / STADIUM - AVENUE HOUBA DE STROOPER / HOUBA DE STROOPERLAAN;{'lat': 50.894005, 'lng': 4.331902};False;False;25;9;16;OPEN;1647714774000
320;bruxelles;320 - UZ BRUSSEL;UZ BRUSSEL - AVENUE DE L'ARBRE BALLON / DIKKE-BEUKLAAN;{'lat': 50.886451, 'lng': 4.310966};False;False;20;11;8;OPEN;1647714770000
187;bruxelles;187 - ARSENAL/ARSENAAL;ARSENAL/ARSENAAL - BOULEVARD LOUIS SCHMIDT/ LOUIS SCHMIDTLAAN 2;{'lat': 50.826603, 'lng': 4.397117};False;False;25;15;10;OPEN;1647714936000
315;bruxelles;315 - SACRE COEUR AUDERGHEM/HEILIGE HART OUDERGHEM;SACRE COEUR AUDERGHEM / HEILIGE HART OUDERGHEM - SQUARE DU SACREE CŒUR / HEILIG-HARTSQUARE;{'lat': 50.810322, 'lng': 4.435789};False;False;20;14;6;OPEN;1647714803000
291;bruxelles;291 - DECROLY;DECROLY - RUE GATTI DE GAMMOND / GATTI DE GAMMOND STRAAT;{'lat': 50.804661, 'lng': 4.327886};False;False;19;14;4;OPEN;1647714931000
238;bruxelles;238 - UNION SAINT-GILLOISE / SINT-GILLIS UNIE;UNION SAINT-GILLOISE / SINT-GILLIS UNIE - CH DE BRUXELLES 366-362 / BRUSSELSESTEENWEG 366-362;{'lat': 50.820278, 'lng': 4.330802};False;False;20;19;1;OPEN;1647714718000
266;bruxelles;266 - GARE BORDET STATION;GARE BORDET / BORDET STATION - CHAUSSEE D'HAECHT FACE 1147 / HAACHTSESTEENWEG VOOR 1147;{'lat': 50.877552, 'lng': 4.409136};False;False;21;16;5;OPEN;1647714694000
17;bruxelles;017 - COMTE DE FLANDRE/GRAAF VAN VLAANDEREN;COMTE DE FLANDRE/GRAAF VAN VLAANDEREN - RUE SAINTE-MARIE / SINT-MARIASTRAAT;{'lat': 50.855358, 'lng': 4.339465};False;False;24;5;18;OPEN;1647714962000
229;bruxelles;229 - ZAMAN FOREST NATIONAL/ZAMAN VORST NATIONAAL;ZAMAN FOREST NATIONAL/ZAMAN VORST NATIONAAL - AV VAN VOLXEM 2 / VAN VOLXEMLAAN 2;{'lat': 50.813587, 'lng': 4.324681};False;False;18;8;10;OPEN;1647715031000
74;bruxelles;074 - PLACE LOIX/LOIXPLEIN;PLACE LOIX/LOIXPLEIN - RUE BERCKMANS/ BERCKMANSSTRAAT 78 - 84;{'lat': 50.831936, 'lng': 4.353037};False;False;24;18;6;OPEN;1647714607000
106;bruxelles;106 - GERMOIR/MOUTERIJ;GERMOIR/MOUTERIJ - AVENUE DE LA COURONNE/KROONLAAN 92-94-96;{'lat': 50.830011999999996, 'lng': 4.3786249999999995};False;True;25;12;13;OPEN;1647714876000
267;bruxelles;267 - GENEVE;GENEVE - RUE DE GENEVE /  GENEVESTRAT 12;{'lat': 50.862912, 'lng': 4.403226};False;False;25;15;10;OPEN;1647714763000
190;bruxelles;190 - TERDELT;TERDELT - PLACE TERDELT / TERDELTPLEIN;{'lat': 50.867904, 'lng': 4.390696};False;False;22;10;12;OPEN;1647714643000
362;bruxelles;362 - GARE BERCHEM ST AGATHE/ST AGATA BERCHEM;GARE BERCHEM ST AGATHE/ST AGATA BERCHEM STATION - RUE BOIS DES ÎLES/EILANDENHOUTSTRAAT 1-15;{'lat': 50.872501, 'lng': 4.290218};False;False;20;5;14;OPEN;1647714535000
16;bruxelles;016 - LOUISE / LOUIZA;LOUISE/LOUIZA - PLACE LOUISE/LOUIZAPLEIN 53;{'lat': 50.835968, 'lng': 4.355508};False;True;40;21;19;OPEN;1647714882000
318;bruxelles;318 - CARDINAL MERCIER / KARDINAAL MERCIER;CARDINAL MERCIER / KARDINAAL MERCIER - PLACE CARDINAL MERCIER / KARDINAAL MERCIER PLEIN 6;{'lat': 50.880539, 'lng': 4.32823};False;False;26;17;9;OPEN;1647714810000
217;bruxelles;217 - BIZET;BIZET - PLACE BIZET (face 11 a 19) / BIZETPLEIN (TEGENOVER 11 tot 19);{'lat': 50.824913, 'lng': 4.297248};False;False;23;8;14;OPEN;1647714799000
116;bruxelles;116 - ULB PLAINE;ULB PLAINE - BOULEVARD DE LA PLAINE  (ENTREE ULB) / PLEINLAAN (INGANG VUB);{'lat': 50.818253, 'lng': 4.395749};False;False;25;18;6;OPEN;1647714953000
275;bruxelles;275 - VERSAILLES;VERSAILLES - AVENUE DE VERSAILLES / VERSAILLESLAAN 125;{'lat': 50.896278, 'lng': 4.372427};False;False;20;10;10;OPEN;1647714730000
69;bruxelles;069 - LESBROUSSART;LESBROUSSART - AVENUE LOUISE/LOUIZALAAN 192;{'lat': 50.827577, 'lng': 4.363797};False;True;29;14;15;OPEN;1647714792000
329;bruxelles;329 - ROODEBEEK;ROODEBEEK - AV PAUL HYMANS FACE À L'ARRÊT METRO ROODEBEEK;{'lat': 50.847617, 'lng': 4.436084};False;False;24;14;10;OPEN;1647715037000
183;bruxelles;183 - LA CHASSE/JACHT;LA CHASSE/JACHT - AVENUE DES CASERNES/ KAZERNENLAAN 4 - 6;{'lat': 50.829928, 'lng': 4.390357};False;False;25;10;15;OPEN;1647714805000
117;bruxelles;117 - CIMETIERE D'IXELLES/BEGRAAFPLAATS VAN ELSENE;CIMETIERE D'IXELLES / BEGRAAFPLAATS VAN ELSENE - AVENUE DE LA COURONNE/KROONLAAN 449;{'lat': 50.816029, 'lng': 4.391006};False;True;34;22;12;OPEN;1647714856000
168;bruxelles;168 - HOPITAL FRANÇAIS/FRANS HOSPITAAL;HOPITAL FRANÇAIS/FRANS HOSPITAAL - AVENUE JOS GOFFINLAAN 133-135;{'lat': 50.866379, 'lng': 4.303281};False;False;25;14;11;OPEN;1647715007000
257;bruxelles;257 - PL MARGHERITE D'AUTRICHE / MARGARETHA VAN OO;PLACE MARGHERITE D'AUTRICHE / MARGARETHA VAN OOSTENRIJKPLEIN;{'lat': 50.872169, 'lng': 4.298216};False;False;25;12;12;OPEN;1647714658000
49;bruxelles;049 - WILLEBROECK/WILLEBROEK;WILLEBROECK/WILLEBROEK - QUAI DE WILLEBROECK/WILLEBROEKKAAI 22 BIS;{'lat': 50.8615, 'lng': 4.351143};False;False;25;16;7;OPEN;1647714934000
118;bruxelles;118 - SCHWEITZER;SCHWEITZER - PLACE DOCTEUR SCHWEITZER;{'lat': 50.864622, 'lng': 4.297878};False;False;25;17;8;OPEN;1647714586000
23;bruxelles;023 - AGORA / AGORA;AGORA - PLACE AGORA/AGORAPLEIN 120;{'lat': 50.846331, 'lng': 4.355193};False;False;19;0;19;OPEN;1647714863000
332;bruxelles;332 - VERGOTE;VERGOTE - BD BRAND WHITLOK;{'lat': 50.845229, 'lng': 4.404311};False;False;24;12;12;OPEN;1647714884000
271;bruxelles;271 - DUBOIS;DUBOIS - BD EMILE MACHTENS/LAAN 102-104;{'lat': 50.851158, 'lng': 4.309591};False;False;25;15;9;OPEN;1647714551000
